Слово "и" чаще всего встречается в тексте (3272 раз(а)) 
Средняя частота каждого слова: 4.0
Слово а встречается 367 раз
Слово аббат встречается 8 раз
Слово аббата встречается 6 раз
Слово аббатом встречается 3 раз
Слово абота встречается 1 раз
Слово аботали встречается 1 раз
Слово абсолютно встречается 2 раз
Слово авангард встречается 1 раз
Слово авангардом встречается 2 раз
Слово аванпостах встречается 1 раз
Слово августа встречается 1 раз
Слово августейший встречается 1 раз
Слово авда встречается 1 раз
Слово австрии встречается 9 раз
Слово австрийские встречается 2 раз
Слово австрийский встречается 11 раз
Слово австрийским встречается 2 раз
Слово австрийскими встречается 1 раз
Слово австрийского встречается 5 раз
Слово австрийской встречается 1 раз
Слово австрийском встречается 1 раз
Слово австрийскому встречается 6 раз
Слово австрийскую встречается 1 раз
Слово австрийцам встречается 1 раз
Слово австрийцами встречается 1 раз
Слово австрийцев встречается 5 раз
Слово австрийцы встречается 4 раз
Слово австрию встречается 3 раз
Слово австрия встречается 4 раз
Слово австрияк встречается 2 раз
Слово автобиография встречается 2 раз
Слово автор встречается 15 раз
Слово автора встречается 12 раз
Слово авторов встречается 3 раз
Слово автором встречается 2 раз
Слово авторскую встречается 3 раз
Слово адвокат встречается 1 раз
Слово адъютант встречается 27 раз
Слово адъютанта встречается 16 раз
Слово адъютантам встречается 2 раз
Слово адъютантика встречается 1 раз
Слово адъютантики встречается 1 раз
Слово адъютантов встречается 3 раз
Слово адъютантом встречается 3 раз
Слово адъютанту встречается 4 раз
Слово адъютанты встречается 6 раз
Слово азарт встречается 1 раз
Слово азарте встречается 1 раз
Слово азартом встречается 1 раз
Слово азбуки встречается 1 раз
Слово азот встречается 2 раз
Слово ай встречается 1 раз
Слово ак встречается 1 раз
Слово академию встречается 1 раз
Слово актер встречается 1 раз
Слово актерства встречается 1 раз
Слово актрисам встречается 1 раз
Слово актрисой встречается 2 раз
Слово актрисы встречается 1 раз
Слово акушером встречается 1 раз
Слово акцентом встречается 1 раз
Слово алгебры встречается 1 раз
Слово александр встречается 4 раз
Слово александра встречается 4 раз
Слово аллеям встречается 1 раз
Слово алмазным встречается 1 раз
